"Billing Start Month"," Billing End Month"," Base Gas Usage (kWh)"," New Gas Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","8526.689336020923","7919.4913158389345","192.66908076341812","178.9488336921879","7.1211462767487745","7.121146276748772"
"2","3","6515.85010837291","5988.112900589975","158.69622695136707","145.84296877260968","8.09928403823761","8.099284038237597"
"3","4","3625.3801249058324","3227.2210943600135","93.86641349183536","83.55749169354728","10.982545742183682","10.982545742183671"
"4","5","1472.4636698597415","1315.0965333882089","43.079039119576656","38.475037562893995","10.687335768801855","10.687335768801859"
"5","6","732.503","732.503","26.687518397469","26.687518397469","0.0","0.0"
"6","7","732.503","732.503","23.079284067278","23.079284067278","0.0","0.0"
"7","8","732.503","732.503","23.871543929515","23.871543929515","0.0","0.0"
"8","9","732.503","732.503","25.48216053837","25.48216053837","0.0","0.0"
"9","10","1224.5243726455185","1108.0502012524876","45.23951538118909","40.9364282512348","9.511788739769614","9.511788739769626"
"10","11","3061.133616003637","2753.8046608756367","86.21805274818884","77.56200979542666","10.039710567395083","10.039710567395078"
"11","12","5918.098767368859","5455.693065395753","143.9463956847129","132.6992643407592","7.813416439122515","7.813416439122513"
"12","1","8245.245206704845","7653.441581993369","194.10072375338387","180.169117233912","7.177513947435242","7.177513947435238"
"Total0","0","41519.39720188227","38350.92335369439","1056.935954826304","977.3116582752034","7.631309849662846","7.533502497243169"
""
"Billing Start Month"," Billing End Month"," Base Cooling Electricity Usage (kWh)"," New Cooling Electricity Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5","126.82045905724848","145.51503037259562","14.648578730304857","16.80792196071015","-14.740974330417894","-14.740974330417883"
"5","6","547.7978493405204","567.2954967970011","64.58689917562981","66.88572636516646","-3.559277839435361","-3.559277839435362"
"6","7","952.2317943840733","946.0849158510613","117.93016355905196","117.16889682226481","0.6455233451838216","0.645523345183826"
"7","8","988.0524240798637","975.8813591631692","127.40896486412879","125.83951091154701","1.2318238000406656","1.231823800040661"
"8","9","624.5000492648522","627.6108538924533","84.20184936092008","84.62128167794368","-0.49812720291423934","-0.49812720291423174"
"9","10","167.70202928578988","176.03394415593985","23.69791187632616","24.875291692150466","-4.968285062282172","-4.968285062282175"
"10","11","0.0","0.0","0.0","0.0","0.0","0.0"
"11","12","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1","0.0","0.0","0.0","0.0","0.0","0.0"
"Total0","0","3407.104605412348","3438.4216002322205","432.47436756636165","436.19862942978256","-0.9191674000887409","-0.8611520456988545"
""
"Payback period for $5126.8 investment with yearly savings of $75.90003468767964 is 67.54674119842268 years."
