"Billing Start Month"," Billing End Month"," Base Gas Usage (kWh)"," New Gas Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","8526.689336020923","7999.320060763281","192.66908076341812","180.75264409232716","6.1849242358317875","6.184924235831786"
"2","3","6515.85010837291","6109.844264165329","158.69622695136707","148.80778652927194","6.2310494786529915","6.231049478652994"
"3","4","3625.3801249058324","3397.875019792663","93.86641349183536","87.9759723429611","6.275344854191775","6.275344854191769"
"4","5","1472.4636698597415","1402.8000589941805","43.079039119576656","41.040930146759464","4.731091998500492","4.7310919985005"
"5","6","732.503","732.503","26.687518397469","26.687518397469","0.0","0.0"
"6","7","732.503","732.503","23.079284067278","23.079284067278","0.0","0.0"
"7","8","732.503","732.503","23.871543929515","23.871543929515","0.0","0.0"
"8","9","732.503","732.503","25.48216053837","25.48216053837","0.0","0.0"
"9","10","1224.5243726455185","1187.5928922334815","45.23951538118909","43.87509805028628","3.0159857359350495","3.01598573593506"
"10","11","3061.133616003637","2921.73514136675","86.21805274818884","82.29183895065107","4.553818686910964","4.553818686910958"
"11","12","5918.098767368859","5614.888958498122","143.9463956847129","136.57139894355544","5.123432723741815","5.123432723741827"
"12","1","8245.245206704845","7765.297466761286","194.10072375338387","182.8023085636098","5.820903174029033","5.8209031740290404"
"Total0","0","41519.39720188227","39329.3658625751","1056.935954826304","1003.2384845520542","5.274718533745682","5.080484775737843"
""
"Billing Start Month"," Billing End Month"," Base Cooling Electricity Usage (kWh)"," New Cooling Electricity Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5","126.82045905724848","131.05225893237935","14.648578730304857","15.137378834819268","-3.336843208571393","-3.3368432085713904"
"5","6","547.7978493405204","552.0377187409206","64.58689917562981","65.08679164109158","-0.7739843092674462","-0.7739843092674605"
"6","7","952.2317943840733","951.6549956616832","117.93016355905196","117.85872930525653","0.06057335260089504","0.06057335260089005"
"7","8","988.0524240798637","987.1374753641462","127.40896486412879","127.29098259321651","0.09260123181920958","0.09260123181920304"
"8","9","624.5000492648522","625.0385775205982","84.20184936092008","84.27445956346578","-0.08623350092284489","-0.08623350092284768"
"9","10","167.70202928578988","168.57063800959398","23.69791187632616","23.820654654570298","-0.5179476524543773","-0.5179476524543761"
"10","11","0.0","0.0","0.0","0.0","0.0","0.0"
"11","12","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1","0.0","0.0","0.0","0.0","0.0","0.0"
"Total0","0","3407.104605412348","3415.4916642293215","432.47436756636165","433.46899659242","-0.24616381908703888","-0.22998565941731566"
""
"Payback period for $1000.0 investment with yearly savings of $52.70284124819159 is 18.974309094470563 years."
