"Month","Heat Loss (kWh)","Heat Gain (kWh)","Cooling Electricity Usage (kWh)"
"1","8869.949710494406","875.5387997217249","0.0"
"2","7928.222136645583","957.7952822580907","0.0"
"3","6169.107168558259","2035.5075748697648","0.0"
"4","3710.23399280993","2289.5095066792264","0.0"
"5","1787.7896910656555","2870.8364114145575","253.64091811449697"
"6","69.3815682220955","3664.528481241238","841.954780566544"
"7","0.0","4536.9126110208435","1062.5088082016027"
"8","0.0","3901.055090621192","913.5960399581247"
"9","753.3484541570886","2185.523784257734","335.40405857157975"
"10","2605.65975118507","1660.9787157056746","0.0"
"11","4672.368335216657","1146.0785879690695","0.0"
"12","7175.445110571548","745.3909844709266","0.0"
