"Billing Start Month"," Billing End Month"," Base Gas Usage (kWh)"," New Gas Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","8526.689336020923","7956.372435637084","192.66908076341812","179.782199512028","6.688608883339289","6.688608883339282"
"2","3","6515.85010837291","6360.47444283024","158.69622695136707","154.91198829154982","2.384580107866675","2.3845801078666726"
"3","4","3625.3801249058324","4010.525748861641","93.86641349183536","103.83839908982722","-10.623592856095684","-10.623592856095689"
"4","5","1472.4636698597415","1765.6847297446504","43.079039119576656","51.65764229195166","-19.913636301318018","-19.91363630131801"
"5","6","732.503","732.503","26.687518397469","26.687518397469","0.0","0.0"
"6","7","732.503","732.503","23.079284067278","23.079284067278","0.0","0.0"
"7","8","732.503","732.503","23.871543929515","23.871543929515","0.0","0.0"
"8","9","732.503","732.503","25.48216053837","25.48216053837","0.0","0.0"
"9","10","1224.5243726455185","1433.3867063970404","45.23951538118909","52.95584261107455","-17.056608950974667","-17.05660895097466"
"10","11","3061.133616003637","3229.278848085719","86.21805274818884","90.9539304678735","-5.492907307378443","-5.492907307378444"
"11","12","5918.098767368859","5604.203948399645","143.9463956847129","136.3115065774444","5.303980742936619","5.303980742936618"
"12","1","8245.245206704845","7649.0508186348015","194.10072375338387","180.06575458982292","7.230766012698228","7.230766012698228"
"Total0","0","41519.39720188227","40938.98967859082","1056.935954826304","1049.5977703642043","1.397918954529366","0.69428846928626"
""
"Billing Start Month"," Billing End Month"," Base Cooling Electricity Usage (kWh)"," New Cooling Electricity Usage (kWh)","Base Cost ($USD)"," New Cost ($USD)"," Usage Reduction (%)"," Cost Reduction (%)"
"1","2","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5","126.82045905724848","1.2180049371767143","14.648578730304857","0.14068740445166644","99.03958324529728","99.03958324529728"
"5","6","547.7978493405204","224.17291101734244","64.58689917562981","26.430613444749703","59.07743864142249","59.07743864142249"
"6","7","952.2317943840733","529.6841763810628","117.93016355905196","65.5993025266131","44.37444963453721","44.37444963453721"
"7","8","988.0524240798637","567.8440288230797","127.40896486412879","73.2232603791246","42.52895747390209","42.528957473902096"
"8","9","624.5000492648522","323.3275913257954","84.20184936092008","43.59452200378874","48.226170405204996","48.226170405205"
"9","10","167.70202928578988","62.21283280361279","23.69791187632616","8.791272446943218","62.90275492278473","62.90275492278473"
"10","11","0.0","0.0","0.0","0.0","0.0","0.0"
"11","12","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1","0.0","0.0","0.0","0.0","0.0","0.0"
"Total0","0","3407.104605412348","1708.4595452880699","432.47436756636165","217.779658205671","49.85597029882498","49.643337377156"
""
"Payback period for $45000.0 investment with yearly savings of $222.03289382279036 is 202.67267261721838 years."
